No.,相対PASS,発行年,巻数,号数,開始ページ,終了ページ,論文タイトル,著者,file_name,HPリンク先,PDFリンク先,file_path,num_pages,llm_keywords,primary_keywords,secondary_keywords,featured_keywords,対象物_all,対象物_top3,対象物_根拠,研究タイプ_all,研究タイプ_top3,研究タイプ_根拠
2030,日本醸造協会誌/95巻/12号/95_899.pdf,2000,95,12,899,905,乳酸菌の抗菌ペプチド (ナイシン) およびその生合成系を利用した最近の研究,佐々木 隆,95_899.pdf,https://www.jstage.jst.go.jp/article/jbrewsocjapan1988/95/12/95_12_899/_article/-char/ja,https://www.jstage.jst.go.jp/article/jbrewsocjapan1988/95/12/95_12_899/_pdf/-char/ja,,,乳酸菌; バクテリオシン; ナイシン; 抗菌活性; 遺伝子; 生産機構; NICE System; 組換え体; 食品応用; 安全性,ナイシン; 乳酸菌; CESyst; 遺伝子; タンパク; act; バクテリオシン; ani; 抗菌; 研究; 抗菌性; 応用; バイオ; プラスミド; 宿主; 大量発現系; 安全; Lact; チーズ; 生合成,ococcus; Syst; 有用; 大量; 生産菌; 細胞外; ナイシンプロモーター; Antonie; 応用研究; 挿入; グラム; バチルス; 染色体; 食品; 画期的; 佐々木隆; 利用; 発現; ファージ; 耐性遺伝子,,酵母・微生物; 発酵乳・乳製品; 味噌; アミノ酸・タンパク質; ワイン; 醤油; 焼酎; 清酒; ビール; 農産物・果実,酵母・微生物; 発酵乳・乳製品; 味噌,"酵母・微生物=>乳酸菌, 麹菌, 微生物; 発酵乳・乳製品=>チーズ, ヨーグルト; 味噌=>味噌",微生物・遺伝子関連; 応用利用・食品開発; 健康機能・栄養効果; 醸造工程・製造技術; 成分分析・物性評価; 保存・安定性; 環境・サステナビリティ; 統計解析・モデル化; 歴史・文化・経済,微生物・遺伝子関連; 応用利用・食品開発; 健康機能・栄養効果,"微生物・遺伝子関連=>遺伝子, プラスミド, 発現; 応用利用・食品開発=>応用, 食品, 利用; 健康機能・栄養効果=>抗菌, 健康, 免疫"
2031,日本醸造協会誌/95巻/12号/95_907.pdf,2000,95,12,907,911,低タンパク質処理米を利用した酒造り,田村 巧; 後藤 誠; 安澤 義彦; 勝又 和明; 片岡 惇,95_907.pdf,https://www.jstage.jst.go.jp/article/jbrewsocjapan1988/95/12/95_12_907/_article/-char/ja,https://www.jstage.jst.go.jp/article/jbrewsocjapan1988/95/12/95_12_907/_pdf/-char/ja,,,清酒; 原料米; タンパク質; 精米; 酒造り; 減肥栽培; 乳酸菌; 加温浸漬; 蒸米; 小仕込試験,タンパク; 質化処理; LPT; processing; low-protein; 質処理米; 米中; PBI; デンプン; 朝日酒造; 勝又; 安澤; the; 酒造; 減少率; plantarum; 通常浸漬; Lactobacillus; 段仕込; 質化,質量; 田村; 江川; エヌ; casei; refined; 流出; 白米; 目標; 後藤; Alc; 糊化度; was; 顆粒; lowprotein; outflow; 加温浸漬; arum; protein; ケイ,,アルコール飲料; 清酒; 酵母・微生物; アミノ酸・タンパク質; 副産物・バイオマス; ワイン,アルコール飲料; 清酒; 酵母・微生物,"アルコール飲料=>アルコール; 清酒=>酒造, 清酒, 大吟醸; 酵母・微生物=>乳酸菌, 菌株",応用利用・食品開発; 品質評価・官能評価; 成分分析・物性評価; 醸造工程・製造技術; 健康機能・栄養効果; 保存・安定性; 微生物・遺伝子関連,応用利用・食品開発; 品質評価・官能評価; 成分分析・物性評価,"応用利用・食品開発=>利用, 開発; 品質評価・官能評価=>品質, 評価, 香気成分; 成分分析・物性評価=>測定, 分析"
2032,日本醸造協会誌/95巻/12号/95_912.pdf,2000,95,12,912,915,電解生成水を用いた清酒の仕込み試験,小林 健治; 新谷 浩介; 原 安夫; 岩成 大輔; 堀江 修二,95_912.pdf,https://www.jstage.jst.go.jp/article/jbrewsocjapan1988/95/12/95_12_912/_article/-char/ja,https://www.jstage.jst.go.jp/article/jbrewsocjapan1988/95/12/95_12_912/_pdf/-char/ja,,,仕込水; 電解生成水; 清酒; 蒸米溶解性; 発酵性; アルカリ性水; 酸性水; pH; ORP; 酵素活性,性水; 電解生成水; 原水; 酸性水; アルカリ; electrolyzed; water; ORP; 電気分解; 酸性; プロテアーゼ; 溶解性; Shimane; 蒸米; 日目; the; well; solubility; 経過; Tabl,発酵性; 島根県松江市石橋町; 0881; 醸性水; アミラーゼ; BEW; 仕込; iso-Amyl; 新谷浩介; 原安夫; using; 低下; 加納成三; ホシザキ; was; 蒸米溶解制御; 電極反応; 日本酒度; 1393; moromi,,アルコール飲料; アミノ酸・タンパク質; 酵母・微生物; 清酒,アルコール飲料; アミノ酸・タンパク質; 酵母・微生物,"アルコール飲料=>アルコール; アミノ酸・タンパク質=>プロテアーゼ, アミラーゼ, 酵素活性; 酵母・微生物=>酵母",醸造工程・製造技術; 成分分析・物性評価; 品質評価・官能評価,醸造工程・製造技術; 成分分析・物性評価; 品質評価・官能評価,"醸造工程・製造技術=>蒸米, 発酵; 成分分析・物性評価=>酸度, 測定; 品質評価・官能評価=>香気成分"
2033,日本醸造協会誌/96巻/1号/96_1.pdf,2001,96,1,1,1,独立行政法入酒類総合研究所の発足,岡崎 直人,96_1.pdf,https://www.jstage.jst.go.jp/article/jbrewsocjapan1988/96/1/96_1_1/_article/-char/ja,https://www.jstage.jst.go.jp/article/jbrewsocjapan1988/96/1/96_1_1/_pdf/-char/ja,,,遺伝子; 解析; 酵母; 醸造; 麹菌; ゲノム; 研究; 発現; 機能; 原料,当所; nan; 国民; 原料研究; 移転; 滝野川; 遺伝子; 業務; QOL; 研究; 民間; 酒類; 解読; 施設; 酒類業界; 発足醸造研究所長岡崎直人国税庁醸造研究所; 独立行政法入酒類総合研究所; 人材養成業務等; 東広島施設及; 東京間,発足; 発現産物; 充実業務; 進展著; 精神免疫学; 程度飲酒; 独立行政法人酒類総合研究所; 計画; 低温等; 皆様; 機能; 地方移転; 財務省所管; 行政機関等; 機能不明; 研究施設; 研究環境; ゲノム; 情報技術; 基盤的研究,,アルコール飲料; 酵母・微生物; アミノ酸・タンパク質,アルコール飲料; 酵母・微生物; アミノ酸・タンパク質,"アルコール飲料=>アルコール; 酵母・微生物=>酵母, 麹菌; アミノ酸・タンパク質=>酵素",微生物・遺伝子関連; 応用利用・食品開発; 歴史・文化・経済; 環境・サステナビリティ; 健康機能・栄養効果; 統計解析・モデル化,微生物・遺伝子関連; 応用利用・食品開発; 歴史・文化・経済,"微生物・遺伝子関連=>遺伝子, ゲノム, 発現; 応用利用・食品開発=>利用; 歴史・文化・経済=>文化, 歴史"
2034,日本醸造協会誌/96巻/1号/96_2.pdf,2001,96,1,2,4,アルコール事業法について,中条 美智江,96_2.pdf,https://www.jstage.jst.go.jp/article/jbrewsocjapan1988/96/1/96_1_2/_article/-char/ja,https://www.jstage.jst.go.jp/article/jbrewsocjapan1988/96/1/96_1_2/_pdf/-char/ja,,,アルコール事業法; 専売制度; 製造; 販売; 輸入; 使用; 許可; 経済産業省; 流通管理; 行政改革,事業法; アルコール; 専売制度; 工業用; 販売; 許可; 罰則; 法律; 輸入事業者; 輸入権; 平成; nan; 販売事業者; 専売法; 新制度; 流通管理; 輸入; 廃止; NEDO; 独占,ユーザー; 申請; 安定的; 製造; 関東経済産業局産業振興部; 関東通商産業局産業振興部; 中条美智江経緯現在; LawMichie; TEL048-; 経済産業局長; 製造事業者又; 流通管理制度; FAX048; 定期報告及; 許可使用者; 無許可使用; 定期報告等; 事業法施行; 専売事業; 一手購入,,アルコール飲料,アルコール飲料,アルコール飲料=>アルコール,醸造工程・製造技術; 歴史・文化・経済,醸造工程・製造技術; 歴史・文化・経済,醸造工程・製造技術=>製造; 歴史・文化・経済=>需要
2035,日本醸造協会誌/96巻/1号/96_5.pdf,2001,96,1,5,13,パッケージ,島村 英伯,96_5.pdf,https://www.jstage.jst.go.jp/article/jbrewsocjapan1988/96/1/96_1_5/_article/-char/ja,https://www.jstage.jst.go.jp/article/jbrewsocjapan1988/96/1/96_1_5/_pdf/-char/ja,,,ビール; 容器; 歴史; 包装; リサイクル法; 軽量化; 缶; 瓶; 樽; プラスチック,ビール; ガラス; 容器; 軽量化; PET; ボトル; アルミ; リターナブル; 容器包装; 内面; 容器包装材料; 当該製造物; 容量; 包装形態; 包装; パッケージ; プラスチック; 中味; タブ; カートン,大量生産; アルミニウム; 社会性; キャップ; エール; 紙容器; ワイド; 必用; 次容器; 使用; コンベア; リサイクル; 大壜; 缶胴; 運搬; 欠陥; 明治; 肉厚; 変質; 内圧,,ビール; アルコール飲料; 醤油; ワイン; 酵母・微生物; 清酒; アミノ酸・タンパク質,ビール; アルコール飲料; 醤油,"ビール=>ビール, エール, ホップ; アルコール飲料=>アルコール; 醤油=>醤油",歴史・文化・経済; 応用利用・食品開発; 環境・サステナビリティ; 保存・安定性; 醸造工程・製造技術; 品質評価・官能評価; 微生物・遺伝子関連; 健康機能・栄養効果,歴史・文化・経済; 応用利用・食品開発; 環境・サステナビリティ,"歴史・文化・経済=>流通, マーケティング, 歴史; 応用利用・食品開発=>開発, 加工, 飲料; 環境・サステナビリティ=>リサイクル, 再利用"
2036,日本醸造協会誌/96巻/1号/96_14.pdf,2001,96,1,14,20,麹菌ゲノム解析への取組み,秋田 修,96_14.pdf,https://www.jstage.jst.go.jp/article/jbrewsocjapan1988/96/1/96_1_14/_article/-char/ja,https://www.jstage.jst.go.jp/article/jbrewsocjapan1988/96/1/96_1_14/_pdf/-char/ja,,,麹菌; ゲノム解析; EST解析; 遺伝子; 塩基配列; ORF; プロモーター; 安全性; 遺伝資源; 産業,EST; ゲノム; 解析; 遺伝子; 麹菌; 塩基配列; 解読; ORF; 塩基配列情報; 糸状菌; 2000; oryzae; 末端; 研究; ライブラリー; グループ; プロモーター; 全遺伝子; 情報; 発現,生物種; シンポジウム; 開始; 図麹菌; ヒトゲノム; 年度大会講演要旨集; 形態変化; 遺伝子操作技術; 000; Aspergi; 全長; 日本生物工学会平成; Cereon; 非重複; 培養条件; 終了; 利用; データ; 公開; dul,,酵母・微生物; 味噌; アミノ酸・タンパク質; 清酒,酵母・微生物; 味噌; アミノ酸・タンパク質,"酵母・微生物=>麹菌, oryzae, 酵母; 味噌=>味噌; アミノ酸・タンパク質=>酵素, プロテアーゼ, アミラーゼ",微生物・遺伝子関連; 統計解析・モデル化; 応用利用・食品開発; 歴史・文化・経済,微生物・遺伝子関連; 統計解析・モデル化; 応用利用・食品開発,"微生物・遺伝子関連=>ゲノム, 遺伝子, 発現; 統計解析・モデル化=>解析, クラスタリング, 最適化; 応用利用・食品開発=>利用, 開発, 食品"
2037,日本醸造協会誌/96巻/1号/96_23.pdf,2001,96,1,23,32,耐塩性酵母のナトリウム排出と浸透圧調節の機構,渡部 保夫; 岩城 知子; 玉井 洋一,96_23.pdf,https://www.jstage.jst.go.jp/article/jbrewsocjapan1988/96/1/96_1_23/_article/-char/ja,https://www.jstage.jst.go.jp/article/jbrewsocjapan1988/96/1/96_1_23/_pdf/-char/ja,,,酵母; 耐塩性; Na+排出機構; ATPase; Na+/H+アンチポーター; 遺伝子; 適合溶質; グリセロール; 情報伝達; HOG経路,rouxi; 遺伝子; ATPase; 細胞膜; 勾配; ZSOD; cerevi; アンチポーター; 耐塩性酵母; クローニング; 耐塩性; ショック; ノックアウト; グリセロール; ENA; ZENA; ポンプ; ZHOG; 排出; 生育,食塩; HOG; pYES; 私達; 変異株; 相同遺伝子; 適合溶質; 発現; 培地; 転写; ZPMA1; 塩感受性株; ZGCY; 排出系; 細胞; PMA1; 酸脱水素酵素; 耐浸透圧性; 観察; コード,,酵母・微生物; 醤油; アルコール飲料; 味噌; アミノ酸・タンパク質; 清酒,酵母・微生物; 醤油; アルコール飲料,"酵母・微生物=>細胞, 酵母, 微生物; 醤油=>醤油; アルコール飲料=>アルコール",微生物・遺伝子関連; 環境・サステナビリティ; 応用利用・食品開発; 保存・安定性; 醸造工程・製造技術; 歴史・文化・経済; 健康機能・栄養効果; 成分分析・物性評価; 統計解析・モデル化,微生物・遺伝子関連; 環境・サステナビリティ; 応用利用・食品開発,"微生物・遺伝子関連=>遺伝子, 変異株, 発現; 環境・サステナビリティ=>排出, 環境; 応用利用・食品開発=>食品, 利用, 調味料"
2038,日本醸造協会誌/96巻/1号/96_33.pdf,2001,96,1,33,42,耐塩性酵母の育種および醤油・味噌醸造への応用,久寿米木 一裕,96_33.pdf,https://www.jstage.jst.go.jp/article/jbrewsocjapan1988/96/1/96_1_33/_article/-char/ja,https://www.jstage.jst.go.jp/article/jbrewsocjapan1988/96/1/96_1_33/_pdf/-char/ja,,,微生物育種; 酵母; 醤油; 風味形成; 香気成分; 耐塩性酵母; 突然変異; 細胞融合; アミノ酸アナログ; 発酵管理,耐塩性酵母; アナログ; 酵母; 久寿米木一裕; 変異株; 酢酸; rouxi; 醤油; 融合株; グルコース; 取得; 食塩存在下; 味噌; 育種; 培地; アルコール; 親株; アミノ; 馬場雅幸; 食塩,日間静置培養; 生育; 高級; YPD; 醸協; 醤油酵母; 発酵能食塩; pH5; 有性的生活環; ミトコンドリア; 育種利用; 中原民也; 吉田秀恵; 阻害; チトクロム; 発酵; 微生物育種; 呼吸; エタノール; 耐性,,醤油; アルコール飲料; 味噌; 酵母・微生物; ワイン; 清酒; ビール; 農産物・果実; アミノ酸・タンパク質,醤油; アルコール飲料; 味噌,"醤油=>醤油, 諸味; アルコール飲料=>アルコール, エタノール; 味噌=>味噌",微生物・遺伝子関連; 醸造工程・製造技術; 応用利用・食品開発; 品質評価・官能評価; 歴史・文化・経済; 成分分析・物性評価; 環境・サステナビリティ,微生物・遺伝子関連; 醸造工程・製造技術; 応用利用・食品開発,"微生物・遺伝子関連=>変異株, DNA, 微生物; 醸造工程・製造技術=>発酵, 醸造, 工程; 応用利用・食品開発=>食品, 利用, 開発"
2039,日本醸造協会誌/96巻/1号/96_46.pdf,2001,96,1,46,60,第36回国税庁醸造研究所講演会要旨,編集部,96_46.pdf,https://www.jstage.jst.go.jp/article/jbrewsocjapan1988/96/1/96_1_46/_article/-char/ja,https://www.jstage.jst.go.jp/article/jbrewsocjapan1988/96/1/96_1_46/_pdf/-char/ja,,,醸造研究所; 国税庁; 原料研究; 酒造好適米; ブドウ; 研究成果; タンパク質; 香気成分; DNA多型解析; 酵素,フィターゼ; リパーゼ; ブドウ; ワイン; 酵素剤; グルクアミラーゼ; 遺伝子; 特徴臭; KL-; 研究; セルラーゼ; BP-; 原料; 酒類原料; サツマイモ; 醸造適性; 醸造; 次代謝産物; 酵素; 清酒,黄麹菌; 遺伝子工学; 焼酎麹菌; 価値観; イソアミル; 手法; カプロン; 清酒醸造; 生産; 酵母; 職員数; 成果; 類縁関係; 精製; 価値; 主役; 開発; 麹菌; 活性; 対照,,ワイン; アルコール飲料; 酵母・微生物; アミノ酸・タンパク質; 農産物・果実; 清酒; 焼酎; 味噌; 副産物・バイオマス,ワイン; アルコール飲料; 酵母・微生物,"ワイン=>ブドウ, ワイン; アルコール飲料=>アルコール, エタノール; 酵母・微生物=>酵母, 麹菌, 微生物",微生物・遺伝子関連; 醸造工程・製造技術; 応用利用・食品開発; 品質評価・官能評価; 成分分析・物性評価; 統計解析・モデル化; 環境・サステナビリティ; 歴史・文化・経済; 保存・安定性,微生物・遺伝子関連; 醸造工程・製造技術; 応用利用・食品開発,"微生物・遺伝子関連=>遺伝子, 微生物, DNA; 醸造工程・製造技術=>醸造, 製造, 熟成; 応用利用・食品開発=>開発, 利用, 応用"
2040,日本醸造協会誌/96巻/1号/96_61.pdf,2001,96,1,61,61,お答えします,岩野 君夫,96_61.pdf,https://www.jstage.jst.go.jp/article/jbrewsocjapan1988/96/1/96_1_61/_article/-char/ja,https://www.jstage.jst.go.jp/article/jbrewsocjapan1988/96/1/96_1_61/_pdf/-char/ja,,,吟醸醪; 糖化酵素; 清酒醪; 並行複発酵; 溶解反応; 糖化反応; グルコアミラーゼ; ブドウ糖; 吟醸造り; 麹,溶解反応; グルコアミラーゼ; ブドウ; 並行複発酵; 活性; nan; 単位; 清酒醪; 吟醸造; 液化; 吟醸醪; 糖化反応; デンプン; 蒸米; 醪温度; 布川; 清酒麹; 糖濃度; 日本醸造協会清酒製造技術; 吟醸醪中,直接依存; 仕込白米; グルコミラーゼ; TFase; 理論式; 普通醸造; 非還元性末端; 研究報告; 発酵; 単位以上; 極端; 不足; 換算; 消費速度; 清酒酵母; スムース; 糖量; 平均; 供給; 菌体内酵素,,ワイン; アミノ酸・タンパク質; アルコール飲料; 酵母・微生物; 清酒,ワイン; アミノ酸・タンパク質; アルコール飲料,"ワイン=>ブドウ; アミノ酸・タンパク質=>グルコアミラーゼ, アミラーゼ, プロテアーゼ; アルコール飲料=>アルコール",醸造工程・製造技術; 品質評価・官能評価,醸造工程・製造技術; 品質評価・官能評価,"醸造工程・製造技術=>蒸米, 発酵, 製造; 品質評価・官能評価=>品質, 香気成分"
2041,日本醸造協会誌/96巻/1号/96_63.pdf,2001,96,1,63,69,無蒸煮白糠を清酒醸造の掛米の代替とする仕込について,岩田 博; 岩瀬 新吾; 松浦 宏行; 鈴木 利明; 荒巻 功,96_63.pdf,https://www.jstage.jst.go.jp/article/jbrewsocjapan1988/96/1/96_1_63/_article/-char/ja,https://www.jstage.jst.go.jp/article/jbrewsocjapan1988/96/1/96_1_63/_pdf/-char/ja,,,清酒醸造; 白糠; 無蒸煮; 掛米; 溶解; 発酵; アルコール; 酸度; 鉄含量; 官能評価,白糠; 留区分; 添区分; shironuka; 白糠使用区分; 対照; 無蒸煮; uncooked; Tome; 無蒸煮白糠; pre-gelatinized; rice; 糠臭; the; 区分; 掛米; 白糠使用比率; 岩瀬; 使用比率; 白米,polish; 代替; 松浦; 製成酒; 金属含量; 金属; sake; Soe; 仲区分; 荒巻; 添時; 発酵; 清酒醸造; 岩田; using; sakes; 仕込; 酸度; アルコール; 糠酒,,アルコール飲料; 清酒; 酵母・微生物; 農産物・果実; アミノ酸・タンパク質,アルコール飲料; 清酒; 酵母・微生物,"アルコール飲料=>アルコール; 清酒=>清酒, 山田錦, 酒造; 酵母・微生物=>酵母, 微生物",醸造工程・製造技術; 成分分析・物性評価; 品質評価・官能評価; 応用利用・食品開発; 微生物・遺伝子関連,醸造工程・製造技術; 成分分析・物性評価; 品質評価・官能評価,"醸造工程・製造技術=>発酵, 製造; 成分分析・物性評価=>酸度, 分析, 測定; 品質評価・官能評価=>官能試験, 香気成分, 品質"
2042,日本醸造協会誌/96巻/1号/96_70.pdf,2001,96,1,70,76,エゴマの味噌への利用,山本 泰; 前橋 健二; 斉藤 春郎; 好井 久雄,96_70.pdf,https://www.jstage.jst.go.jp/article/jbrewsocjapan1988/96/1/96_1_70/_article/-char/ja,https://www.jstage.jst.go.jp/article/jbrewsocjapan1988/96/1/96_1_70/_pdf/-char/ja,,,味噌; エゴマ; 脂質; アルファ-リノレン酸; 脂肪酸組成; 過酸化物価; 抗変異原性; リノレン酸エチル; 官能検査; 熟成,エゴマ; リノレン; 味噌; 添加味噌; miso; 脱皮; Perilla; 脂質; frutescens; 前橋; the; 好井; トコフェロール; 東京; エーテル; 対照味噌; シソ; seeds; 斉藤; 系列脂肪酸,奥山治美; 添加区; 抽出脂質; リノール; 脂肪酸; 脂質含量; 留去; 普通味噌; Tabl; 山本; 食事; エチル; 無水硫酸; 種子; 大豆; 添加; soup; 酸化安定性; 代替; 好井久雄,,味噌; 農産物・果実; アルコール飲料; アミノ酸・タンパク質; 酵母・微生物; 清酒,味噌; 農産物・果実; アルコール飲料,"味噌=>味噌, 豆味噌; 農産物・果実=>種子, 大豆, 米麹; アルコール飲料=>エタノール, アルコール",保存・安定性; 応用利用・食品開発; 醸造工程・製造技術; 品質評価・官能評価; 成分分析・物性評価; 環境・サステナビリティ,保存・安定性; 応用利用・食品開発; 醸造工程・製造技術,"保存・安定性=>酸化; 応用利用・食品開発=>利用, 調味料, 食品; 醸造工程・製造技術=>製造, 酵母添加"
2043,日本醸造協会誌/96巻/2号/96_79.pdf,2001,96,2,79,79,日本酒を感知する感覚レセプターの退化防止を,月岡 本,96_79.pdf,https://www.jstage.jst.go.jp/article/jbrewsocjapan1988/96/2/96_2_79/_article/-char/ja,https://www.jstage.jst.go.jp/article/jbrewsocjapan1988/96/2/96_2_79/_pdf/-char/ja,,,日本酒; 感覚レセプター; 退化防止; 米文化; 米の消費量; 日本酒の消費量; 相関減少; 味覚; 嗅覚; 海の砂漠化,日本酒; 消費量; レセプター; nan; 漁師; 米文化; 退化; 森林; 感覚; 感知; メニュー; 新潟県醸造試験場長月岡本小中学校; ビーフストロガノブ; ツイストパン; 退化防止; 香味感覚; 松永勝彦; 畠山重篤; 遠洋漁業; 気仙沼湾,飯中心; 石灰藻; 室根山; ブイヤベース; 畠山氏; 牡蛎; 阿部啓子先生; 腐食物質; 今必要; 分子論; 鈍感; 米消費量; ナン; 近海; 表裏一体; 砂漠化; 日本食文化; カタカナ; 沿岸; 給食,,清酒,清酒,清酒=>日本酒,歴史・文化・経済; 応用利用・食品開発; 品質評価・官能評価,歴史・文化・経済; 応用利用・食品開発; 品質評価・官能評価,"歴史・文化・経済=>文化, 消費; 応用利用・食品開発=>食品; 品質評価・官能評価=>味覚"
2044,日本醸造協会誌/96巻/2号/96_80.pdf,2001,96,2,80,85,わが社のあゆみと経営戦略,斎藤 吉平,96_80.pdf,https://www.jstage.jst.go.jp/article/jbrewsocjapan1988/96/2/96_2_80/_article/-char/ja,https://www.jstage.jst.go.jp/article/jbrewsocjapan1988/96/2/96_2_80/_pdf/-char/ja,,,日本酒; 新潟県; 淡麗辛口; 品質向上; 地酒ブーム; 酒造技術; 酒造学校; HACCP; 安全性; 酒文化,津川町; 新潟; 麒麟山酒造; 麒麟山; 麒麟; 当社; 出荷量; 淡麗辛口; 酒造業; 業界; 斎藤家; 徳男; 値引; 当時; 昭和; 蔵元; 阿賀野川; 史料; 方針; 酒造,辛口; 酒屋; 廃止; 社内; 1882; 商品; 清水; 季節労務; 酒造業界; 杜氏; 時代; 県内; 新潟県醸造試験場; 奥阿賀酒米研究会; 新潟県酒類販売; 斎藤吉平; 先々々代; 藤倉盛弘; 二大銘酒; 販売方式,,清酒; アルコール飲料; ビール; ワイン,清酒; アルコール飲料; ビール,"清酒=>酒造, 酒米, 日本酒; アルコール飲料=>アルコール; ビール=>ビール",歴史・文化・経済; 応用利用・食品開発; 醸造工程・製造技術; 健康機能・栄養効果; 品質評価・官能評価,歴史・文化・経済; 応用利用・食品開発; 醸造工程・製造技術,"歴史・文化・経済=>文化, ブランド, 歴史; 応用利用・食品開発=>新商品, 開発, 利用; 醸造工程・製造技術=>醸造, 発酵, 製造"
2045,日本醸造協会誌/96巻/2号/96_86.pdf,2001,96,2,86,93,ビールのパッケージング,岡田 孝彦,96_86.pdf,https://www.jstage.jst.go.jp/article/jbrewsocjapan1988/96/2/96_2_86/_article/-char/ja,https://www.jstage.jst.go.jp/article/jbrewsocjapan1988/96/2/96_2_86/_pdf/-char/ja,,,ビール; 充填; 容器; 瓶詰; 缶詰; 樽詰; 炭酸ガス; 品質管理; ラベリング; 箱詰,フィラ; ビール; ライン; 工程; 炭酸; コンベア; 充填; ガス; ケーサ; パレット; 搬送; スピアバルブ; 容器; 検査; 概略; 充填前; 壜内; 容器内; 管理; ロータリー,エアー; 洗浄殺菌; 充填工程; シーミングロール; ジェットタイプ; 製造時期等; 入味量; 入味高; ラベラ; 洗壜機; 次容器; 場合; 充填後; 必要; 全数検査; 空缶; フロー; 洗浄; パッキン; 王冠栓,,ビール; 酵母・微生物; アミノ酸・タンパク質,ビール; 酵母・微生物; アミノ酸・タンパク質,"ビール=>ビール; 酵母・微生物=>カビ, 微生物; アミノ酸・タンパク質=>蛋白質",醸造工程・製造技術; 環境・サステナビリティ; 応用利用・食品開発; 保存・安定性; 歴史・文化・経済; 品質評価・官能評価; 成分分析・物性評価; 微生物・遺伝子関連,醸造工程・製造技術; 環境・サステナビリティ; 応用利用・食品開発,"醸造工程・製造技術=>工程, 製造, 醸造; 環境・サステナビリティ=>排出; 応用利用・食品開発=>開発, 加工"
2046,日本醸造協会誌/96巻/2号/96_94.pdf,2001,96,2,94,99,ビールのカードボード臭について,安井 哲二,96_94.pdf,https://www.jstage.jst.go.jp/article/jbrewsocjapan1988/96/2/96_2_94/_article/-char/ja,https://www.jstage.jst.go.jp/article/jbrewsocjapan1988/96/2/96_2_94/_pdf/-char/ja,,,ビール; 麦汁製造; 脂肪酸酸化; ノネナール; カードボード臭; 亜硫酸; 生成抑制; 麦下し温度; 麦汁濾過; 異性化ホップ抽出物,ノネナール; トランス; ノネナールポテンシャル; カードボード; ビール; シッフ; ppb; 生成; 塩基; 亜硫酸; 麦汁; 二番搾; トランスー; 結合体; 保存中; 前駆体; 麦下; ラベル; 冷却麦汁; リポキシゲナーゼ,酸化; Brew; 非酸化的経路; Noel; 酸化反応; 仕込粕; Cony; 濾過麦汁; 形成; 糖化工程; 添加; Proc; 脂肪酸; メカニズム; 脂肪酸酸化物; 麦汁煮沸時; Collin; and; 麦汁煮沸工程; 麦汁中,,ビール; アミノ酸・タンパク質; 酵母・微生物,ビール; アミノ酸・タンパク質; 酵母・微生物,"ビール=>ビール, 麦芽; アミノ酸・タンパク質=>蛋白質, プロテアーゼ; 酵母・微生物=>酵母",保存・安定性; 醸造工程・製造技術; 成分分析・物性評価; 応用利用・食品開発; 品質評価・官能評価,保存・安定性; 醸造工程・製造技術; 成分分析・物性評価,"保存・安定性=>酸化, 保存, 劣化; 醸造工程・製造技術=>工程, 醸造, 発酵; 成分分析・物性評価=>分析, 測定"
2047,日本醸造協会誌/96巻/2号/96_100.pdf,2001,96,2,100,106,麦味噌および大麦麹のフェルラ酸と抗酸化活性,松田 茂樹; 工藤 康文,96_100.pdf,https://www.jstage.jst.go.jp/article/jbrewsocjapan1988/96/2/96_2_100/_article/-char/ja,https://www.jstage.jst.go.jp/article/jbrewsocjapan1988/96/2/96_2_100/_pdf/-char/ja,,,フェルラ酸; ポリフェノール; 植物; 生合成; 味噌; 大麦麹; 抽出; 含量; 麹菌; 抗酸化能,フェルラ; 麦味噌; ポリフェノール; 遊離; 大麦; 捕捉能; 酸量; 製麹過程; 麦麹; 穀類; ラジカル; 味噌; 赤色麦味噌用種麹; 抗酸化能; 大麦麹; 酸含量; 米味噌; 麹菌; 抗酸化活性; 淡色麦味噌用種麹,結合態; 遊離態; 日食科工; 工藤康文; クマール; 生合成経路; 松田茂樹; 食物繊維; カフェ; 麹抽出液; フェノール; HARUKAZE; KAMISAKA; イソフェルラ; 製麹終期; 玉川浩司; 飯塚崇史; 存在; 植物体; 図麦麹製麹中,,味噌; 農産物・果実; 酵母・微生物; アルコール飲料; 発酵食品; 醤油; 清酒; アミノ酸・タンパク質; ビール,味噌; 農産物・果実; 酵母・微生物,"味噌=>麦味噌, 味噌, 米味噌; 農産物・果実=>小麦, 米麹, 大豆; 酵母・微生物=>麹菌, 微生物",成分分析・物性評価; 醸造工程・製造技術; 健康機能・栄養効果; 歴史・文化・経済; 保存・安定性; 統計解析・モデル化; 微生物・遺伝子関連; 品質評価・官能評価,成分分析・物性評価; 醸造工程・製造技術; 健康機能・栄養効果,"成分分析・物性評価=>測定, HPLC, 分析; 醸造工程・製造技術=>熟成, 発酵; 健康機能・栄養効果=>機能性, 抗酸化"
